Count,Code,Browser,B&W*,Apple,Andr,Twit,Wind,GMail,DCM,KDDI,SB,Name,Version,Default,Annotations
1254,U+1F234,🈴,,,,,,,,missing,missing,squared cjk unified ideograph-5408,V6.0ʲ,emoji,"chinese, symbol, word"
1255,U+1F233,🈳,,,,,,,,,,squared cjk unified ideograph-7a7a,V6.0ʲ,emoji,"chinese, symbol, word"
1256,U+3297,㊗️,,,,,,,missing,,,circled ideograph congratulation,V1.1ʲ,text*,"chinese, congratulation, congratulations, ideograph, symbol, word"
1257,U+3299,㊙️,,,,,,,,,,circled ideograph secret,V1.1ªʲ,text*,"chinese, ideograph, secret, symbol, word"
1258,U+1F23A,🈺,,,,,,,missing,,,squared cjk unified ideograph-55b6,V6.0ʲ,emoji,"chinese, symbol, word"
1259,U+1F235,🈵,,,,,,,,,,squared cjk unified ideograph-6e80,V6.0ʲ,emoji,"chinese, symbol, word"
1260,U+25AA,▪️,,,,,,,missing,,missing,black small square,V1.1ʲʷ,text*,"geometric, sign, square, symbol"
1261,U+25AB,▫️,,,,,,,missing,,missing,white small square,V1.1ʲ,text*,"geometric, sign, square, symbol"
1262,U+25FB,◻️,,,,,,,missing,,missing,white medium square,V3.2ʲ,text*,"geometric, sign, square, symbol"
1263,U+25FC,◼️,,,,,,,missing,,missing,black medium square,V3.2ʲʷ,text*,"geometric, sign, square, symbol"
1264,U+25FD,◽️,,,,,,,missing,,missing,white medium small square,V3.2ʲ,emoji*,"geometric, sign, square, symbol"
1265,U+25FE,◾️,,,,,,,missing,,missing,black medium small square,V3.2ʲʷ,emoji*,"geometric, sign, square, symbol"
1266,U+2B1B,⬛️,,,,,,missing,missing,,missing,black large square,V5.1ªʲʷ,emoji*,"geometric, sign, square, symbol"
1267,U+2B1C,⬜️,,,,,,missing,missing,,missing,white large square,V5.1ʲʷ,emoji*,"geometric, sign, square, symbol"
1268,U+1F536,🔶,,,,,,,missing,,missing,large orange diamond,V6.0ʲ,emoji,"diamond, geometric, orange, sign, symbol"
1269,U+1F537,🔷,,,,,,,missing,,missing,large blue diamond,V6.0ʲ,emoji,"blue, diamond, geometric, sign, symbol"
1270,U+1F538,🔸,,,,,,,missing,,missing,small orange diamond,V6.0ʲ,emoji,"diamond, geometric, orange, sign, symbol"
1271,U+1F539,🔹,,,,,,,missing,,missing,small blue diamond,V6.0ʲ,emoji,"blue, diamond, geometric, sign, symbol"
1272,U+1F53A,🔺,,,,,,,missing,,missing,up-pointing red triangle,V6.0ʲ,emoji,"geometric, red, sign, symbol"
1273,U+1F53B,🔻,,,,,,,missing,,missing,down-pointing red triangle,V6.0ʲ,emoji,"down, geometric, red, sign, symbol"
1274,U+1F4A0,💠,,,,,,,,missing,missing,diamond shape with a dot inside,V6.0ʲ,emoji,"comic, diamond, geometric, inside, sign, symbol"
1275,U+1F518,🔘,,,,,,,missing,,missing,radio button,V6.0ʲ,emoji,"button, geometric, radio, sign, symbol"
1276,U+1F532,🔲,,,,,,missing,missing,missing,,black square button,V6.0ʲ,emoji,"button, geometric, sign, square, symbol"
1277,U+1F533,🔳,,,,,,,missing,missing,,white square button,V6.0ʲ,emoji,"button, geometric, outlined, sign, square, symbol"
1278,U+26AA,⚪️,,,,,,,missing,,missing,medium white circle,V4.1ʲ,emoji*,"circle, geometric, sign, symbol"
1279,U+26AB,⚫️,,,,,,,missing,,missing,medium black circle,V4.1ʲʷ,emoji*,"circle, geometric, sign, symbol"
1280,U+1F534,🔴,,,,,,,missing,,,large red circle,V6.0ʲ,emoji,"circle, geometric, red, sign, symbol"
1281,U+1F535,🔵,,,,,,,missing,,missing,large blue circle,V6.0ʲ,emoji,"blue, circle, geometric, sign, symbol"
