Count,Code,Browser,B&W*,Apple,Andr,Twit,Wind,GMail,DCM,KDDI,SB,Name,Version,Default,Annotations
129,U+1F918,🤘,,missing,missing,missing,missing,missing,missing,missing,missing,sign of the horns,V8.0ˣ,emoji,"body, finger, hand, horns, person, rock-on"
130,U+1F590,🖐,,new 7.0,new 7.0,new 7.0,,new 7.0,new 7.0,new 7.0,new 7.0,raised hand with fingers splayed,V7.0ʷ,text,"body, finger, hand, person, splayed"
131,U+270A,✊,,,,,,,,,,raised fist,V6.0ʲ,emoji,"body, clenched, fist, hand, person, punch"
132,U+270B,✋,,,,,,,,,,raised hand,V6.0ʲ,emoji,"body, hand, person"
133,U+1F44A,👊,,,,,,,,,,fisted hand sign,V6.0ʲ,emoji,"body, clenched, fist, hand, person, punch"
134,U+1F44C,👌,,,,,,,missing,,,ok hand sign,V6.0ʲ,emoji,"body, hand, ok, person"
135,U+1F44D,👍,,,,,,,,,,thumbs up sign,V6.0ʲʷ,emoji,"+1, body, hand, person, thumb, thumbs up, up"
136,U+1F44E,👎,,,,,,,missing,,,thumbs down sign,V6.0ʲʷ,emoji,"-1, body, down, hand, person, thumb, thumbs down"
137,U+1F44B,👋,,,,,,,missing,,,waving hand sign,V6.0ʲ,emoji,"body, hand, person, wave, waving"
138,U+1F44F,👏,,,,,,,missing,,,clapping hands sign,V6.0ʲ,emoji,"body, clap, hand, person"
139,U+1F450,👐,,,,,,,missing,missing,,open hands sign,V6.0ʲ,emoji,"body, hand, open, person"
140,U+270D,✍,,missing,missing,missing,missing,missing,missing,missing,missing,writing hand,V1.1ᶻʷ,text,"body, education, hand, person, write"
141,U+1F485,💅,,,,,,,missing,,,nail polish,V6.0ʲ,emoji,"body, care, cosmetics, manicure, nail, person, polish"
142,U+1F463,👣,,,,,,,,,,footprints,V6.0ʲ,emoji,"body, clothing, footprint, person, print"
143,U+1F440,👀,,,,,,,,,,eyes,V6.0ʲ,emoji,"body, eye, face, person"
144,U+1F441,👁,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,eye,V7.0ʷ,text,"body, eye, person"
145,U+1F442,👂,,,,,,,,,,ear,V6.0ʲʷ,emoji,"body, ear, person"
146,U+1F443,👃,,,,,,,missing,,,nose,V6.0ʲ,emoji,"body, nose, person"
147,U+1F445,👅,,,,,,,missing,,missing,tongue,V6.0ʲ,emoji,"body, person, tongue"
148,U+1F444,👄,,,,,,,missing,,,mouth,V6.0ʲ,emoji,"body, lips, mouth, person"
149,U+1F48B,💋,,,,,,,,,,kiss mark,V6.0ʲ,emoji,"emotion, heart, kiss, lips, mark, person, romance"
150,U+1F498,💘,,,,,,,missing,,,heart with arrow,V6.0ʲ,emoji,"arrow, cupid, emotion, heart, person, romance"
151,U+2764,❤️,,,,,,,,,,heavy black heart,V1.1ᶻʲ,text*,"emotion, heart, person"
152,U+1F493,💓,,,,,,,,,,beating heart,V6.0ʲ,emoji,"beating, emotion, heart, heartbeat, person, pulsating"
153,U+1F494,💔,,,,,,,,,,broken heart,V6.0ʲ,emoji,"break, broken, emotion, heart, person"
154,U+1F495,💕,,,,,,,,,missing,two hearts,V6.0ʲ,emoji,"emotion, heart, love, person"
155,U+1F496,💖,,,,,,,missing,,missing,sparkling heart,V6.0ʲ,emoji,"emotion, excited, heart, person, sparkle"
156,U+1F497,💗,,,,,,,missing,missing,,growing heart,V6.0ʲ,emoji,"emotion, excited, growing, heart, heartpulse, nervous, person"
157,U+1F499,💙,,,,,,,missing,,,blue heart,V6.0ʲ,emoji,"blue, emotion, heart, person"
158,U+1F49A,💚,,,,,,,missing,,,green heart,V6.0ʲ,emoji,"emotion, green, heart, person"
159,U+1F49B,💛,,,,,,,missing,,,yellow heart,V6.0ʲ,emoji,"emotion, heart, person, yellow"
160,U+1F49C,💜,,,,,,,missing,,,purple heart,V6.0ʲ,emoji,"emotion, heart, person, purple"
161,U+1F49D,💝,,,,,,,missing,,,heart with ribbon,V6.0ʲ,emoji,"emotion, heart, object, person, ribbon, valentine"
162,U+1F49E,💞,,,,,,,missing,,missing,revolving hearts,V6.0ʲ,emoji,"emotion, heart, person, revolving"
163,U+1F49F,💟,,,,,,,missing,missing,,heart decoration,V6.0ʲ,emoji,"emotion, heart, person, symbol"
164,U+2763,❣,,missing,missing,missing,missing,missing,missing,missing,missing,heavy heart exclamation mark ornament,V1.1ᶻ,text,"emotion, exclamation, heart, mark, punctuation, symbol"
165,U+1F48C,💌,,,,,,,,,missing,love letter,V6.0ʲ,emoji,"emotion, heart, letter, love, mail, person, romance"
166,U+1F4A7,💧,,,,,,,,,missing,droplet,V6.0ʲ,emoji,"cold, comic, drop, emotion, nature, object, person, sweat, weather"
167,U+1F4A4,💤,,,,,,,,,,sleeping symbol,V6.0ʲ,emoji,"comic, emotion, person, sleep, symbol, word, zzz"
168,U+1F4A2,💢,,,,,,,,,,anger symbol,V6.0ʲ,emoji,"angry, comic, emotion, mad, person, symbol"
169,U+1F4A3,💣,,,,,,,,,,bomb,V6.0ʲʷ,emoji,"bomb, comic, object"
170,U+1F4A5,💥,,,,,,,,,missing,collision symbol,V6.0ʲ,emoji,"boom, collision, comic, emotion, person"
171,U+1F4A6,💦,,,,,,,,,,splashing sweat symbol,V6.0ʲ,emoji,"comic, emotion, object, person, splashing, sweat"
172,U+1F4A8,💨,,,,,,,,,,dash symbol,V6.0ʲ,emoji,"comic, dash, emotion, object, person, running"
173,U+1F4AB,💫,,,,,,,missing,,missing,dizzy symbol,V6.0ʲ,emoji,"comic, dizzy, emotion, person, star"
174,U+1F4AC,💬,,,,,,,missing,,missing,speech balloon,V6.0ʲ,emoji,"balloon, bubble, comic, dialog, emotion, object, person, speech"
175,U+1F4AD,💭,,,,,,missing,missing,missing,missing,thought balloon,V6.0ˣ,emoji,"balloon, bubble, comic, emotion, object, person, thought"
176,U+1F573,🕳,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,hole,V7.0ʷ,text,"hole, symbol"
177,U+1F5EF,🗯,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,right anger bubble,V7.0ʷ,text,"angry, balloon, bubble, emotion, mad, symbol"
178,U+1F453,👓,,,,,,,,,missing,eyeglasses,V6.0ʲʷ,emoji,"clothing, eye, eyeglasses, eyewear, glasses, object, person"
179,U+1F576,🕶,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,dark sunglasses,V7.0ʷ,text,"dark, eye, eyewear, glasses, object, sunglasses"
180,U+1F454,👔,,,,,,,missing,,,necktie,V6.0ʲ,emoji,"clothing, necktie, object, person"
181,U+1F455,👕,,,,,,,,,,t-shirt,V6.0ʲ,emoji,"clothing, object, person, shirt, tshirt"
182,U+1F456,👖,,,,,,,,,missing,jeans,V6.0ʲ,emoji,"clothing, jeans, object, pants, person, trousers"
183,U+1F457,👗,,,,,,,missing,,,dress,V6.0ʲ,emoji,"clothing, dress, object, person"
184,U+1F458,👘,,,,,,,missing,,,kimono,V6.0ʲ,emoji,"clothing, kimono, object, person"
185,U+1F459,👙,,,,,,,missing,,,bikini,V6.0ʲ,emoji,"bikini, clothing, object, person, swim"
186,U+1F45A,👚,,,,,,,missing,,missing,womans clothes,V6.0ʲ,emoji,"clothing, object, person, woman"
187,U+1F45B,👛,,,,,,,,,missing,purse,V6.0ʲ,emoji,"clothing, coin, object, person, purse"
188,U+1F45C,👜,,,,,,,,,,handbag,V6.0ʲ,emoji,"bag, clothing, handbag, object, person"
189,U+1F45D,👝,,,,,,,,missing,missing,pouch,V6.0ʲ,emoji,"bag, clothing, object, person, pouch"
190,U+1F6CD,🛍,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,shopping bags,V7.0ʷ,text,"bag, hotel, object, shopping"
191,U+1F392,🎒,,,,,,,missing,,,school satchel,V6.0ʲ,emoji,"activity, bag, education, object, satchel, school"
192,U+1F45E,👞,,,,,,,missing,,missing,mans shoe,V6.0ʲ,emoji,"clothing, man, object, person, shoe"
193,U+1F45F,👟,,,,,,,,,,athletic shoe,V6.0ʲ,emoji,"athletic, clothing, object, person, shoe, sneaker"
194,U+1F460,👠,,,,,,,,,,high-heeled shoe,V6.0ʲ,emoji,"clothing, heel, object, person, shoe, woman"
195,U+1F461,👡,,,,,,,missing,missing,,womans sandal,V6.0ʲ,emoji,"clothing, object, person, sandal, shoe, woman"
196,U+1F462,👢,,,,,,,missing,,,womans boots,V6.0ʲ,emoji,"boot, clothing, object, person, shoe, woman"
197,U+1F451,👑,,,,,,,,,,crown,V6.0ʲ,emoji,"clothing, crown, king, object, person, queen"
198,U+1F452,👒,,,,,,,missing,,,womans hat,V6.0ʲ,emoji,"clothing, hat, object, person, woman"
199,U+1F3A9,🎩,,,,,,,,,,top hat,V6.0ʲ,emoji,"activity, clothing, entertainment, hat, object, person, top, tophat"
200,U+1F4FF,📿,,missing,missing,missing,missing,missing,missing,missing,missing,prayer beads,V8.0ˣ,emoji,"beads, clothing, necklace, object, person, prayer, religion"
201,U+1F484,💄,,,,,,,,,,lipstick,V6.0ʲ,emoji,"cosmetics, lipstick, makeup, object, person"
202,U+1F48D,💍,,,,,,,,,,ring,V6.0ʲ,emoji,"diamond, emotion, object, person, ring, romance"
203,U+1F48E,💎,,,,,,,missing,missing,,gem stone,V6.0ʲ,emoji,"diamond, emotion, gem, jewel, object, person, romance"
204,U+1F479,👹,,,,,,,missing,,missing,japanese ogre,V6.0ʲ,emoji,"creature, face, fairy tale, fantasy, japanese, monster, ogre, person"
205,U+1F47A,👺,,,,,,,missing,,missing,japanese goblin,V6.0ʲ,emoji,"creature, face, fairy tale, fantasy, goblin, japanese, monster, person"
206,U+1F47B,👻,,,,,,,missing,,,ghost,V6.0ʲ,emoji,"creature, face, fairy tale, fantasy, ghost, monster, person"
207,U+1F480,💀,,,,,,,missing,,,skull,V6.0ʲ,emoji,"body, death, face, fairy tale, monster, person, skull"
208,U+2620,☠,,missing,missing,missing,missing,missing,missing,missing,missing,skull and crossbones,V1.1ˣ,text,"body, crossbones, death, face, monster, person, skull"
209,U+1F47D,👽,,,,,,,missing,,,extraterrestrial alien,V6.0ʲʷ,emoji,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, nature, person, space, ufo"
210,U+1F47E,👾,,,,,,,missing,,,alien monster,V6.0ʲ,emoji,"alien, creature, extraterrestrial, face, fairy tale, fantasy, monster, nature, person, space, ufo"
211,U+1F916,🤖,,missing,missing,missing,missing,missing,missing,missing,missing,robot face,V8.0ˣ,emoji,"face, monster, person, robot"
212,U+1F4A9,💩,,,,,,,missing,,,pile of poo,V6.0ʲ,emoji,"comic, dung, face, monster, nature, object, poo, poop"
213,U+1F435,🐵,,,,,,,missing,,,monkey face,V6.0ʲ,emoji,"animal, face, monkey, nature"
214,U+1F648,🙈,,,,,,,missing,,missing,see-no-evil monkey,V6.0ʲ,emoji,"animal, evil, face, forbidden, gesture, monkey, nature, no, not, prohibited, see"
215,U+1F649,🙉,,,,,,,missing,,missing,hear-no-evil monkey,V6.0ʲ,emoji,"animal, evil, face, forbidden, gesture, hear, monkey, nature, no, not, prohibited"
216,U+1F64A,🙊,,,,,,,missing,,missing,speak-no-evil monkey,V6.0ʲ,emoji,"animal, evil, face, forbidden, gesture, monkey, nature, no, not, prohibited, speak"
217,U+1F412,🐒,,,,,,,missing,missing,,monkey,V6.0ʲ,emoji,"animal, monkey, nature"
218,U+1F436,🐶,,,,,,,,,,dog face,V6.0ʲ,emoji,"animal, dog, face, nature, pet"
219,U+1F415,🐕,,,,,,missing,missing,missing,missing,dog,V6.0ʷ,emoji,"animal, dog, nature, pet"
220,U+1F429,🐩,,,,,,,missing,,missing,poodle,V6.0ʲ,emoji,"animal, dog, nature, poodle"
221,U+1F43A,🐺,,,,,,,missing,missing,,wolf face,V6.0ʲ,emoji,"animal, face, nature, wolf"
222,U+1F431,🐱,,,,,,,,,,cat face,V6.0ʲ,emoji,"animal, cat, face, nature, pet"
223,U+1F638,😸,,,,,,,missing,,missing,grinning cat face with smiling eyes,V6.0ʲ,emoji,"animal, cat, eye, face, grin, nature, smile"
224,U+1F639,😹,,,,,,,missing,,missing,cat face with tears of joy,V6.0ʲ,emoji,"animal, cat, face, joy, nature, tear"
225,U+1F63A,😺,,,,,,,missing,,missing,smiling cat face with open mouth,V6.0ʲ,emoji,"animal, cat, face, mouth, nature, open, smile"
226,U+1F63B,😻,,,,,,,missing,,missing,smiling cat face with heart-shaped eyes,V6.0ʲ,emoji,"animal, cat, eye, face, heart, love, nature, smile"
227,U+1F63C,😼,,,,,,,missing,,missing,cat face with wry smile,V6.0ʲ,emoji,"animal, cat, face, ironic, nature, smile, wry"
228,U+1F63D,😽,,,,,,,missing,,missing,kissing cat face with closed eyes,V6.0ʲ,emoji,"animal, cat, eye, face, kiss, nature"
229,U+1F63E,😾,,,,,,,missing,,missing,pouting cat face,V6.0ʲ,emoji,"animal, cat, face, nature, pouting"
230,U+1F63F,😿,,,,,,,missing,,missing,crying cat face,V6.0ʲ,emoji,"animal, cat, cry, face, nature, sad, tear"
231,U+1F640,🙀,,,,,,,missing,,missing,weary cat face,V6.0ʲ,emoji,"animal, cat, face, nature, oh, surprised, weary"
232,U+1F408,🐈,,,,,,missing,missing,missing,missing,cat,V6.0ʷ,emoji,"animal, cat, nature, pet"
233,U+1F981,🦁,,missing,missing,missing,missing,missing,missing,missing,missing,lion face,V8.0ˣ,emoji,"animal, face, leo, lion, nature, zodiac"
234,U+1F42F,🐯,,,,,,,missing,,,tiger face,V6.0ʲ,emoji,"animal, face, nature, tiger"
235,U+1F405,🐅,,,,,,missing,missing,missing,missing,tiger,V6.0ˣ,emoji,"animal, nature, tiger"
236,U+1F406,🐆,,,,,,missing,missing,missing,missing,leopard,V6.0ˣ,emoji,"animal, leopard, nature"
237,U+1F434,🐴,,,,,,,,,,horse face,V6.0ʲ,emoji,"animal, face, horse, nature"
238,U+1F40E,🐎,,,,,,,missing,missing,,horse,V6.0ʲ,emoji,"animal, horse, nature, place, racehorse, racing"
239,U+1F984,🦄,,missing,missing,missing,missing,missing,missing,missing,missing,unicorn face,V8.0ˣ,emoji,"animal, face, nature, unicorn"
240,U+1F42E,🐮,,,,,,,missing,,,cow face,V6.0ʲ,emoji,"animal, cow, face, nature"
241,U+1F402,🐂,,,,,,missing,missing,missing,missing,ox,V6.0ˣ,emoji,"animal, bull, nature, ox, taurus, zodiac"
242,U+1F403,🐃,,,,,,missing,missing,missing,missing,water buffalo,V6.0ˣ,emoji,"animal, buffalo, nature, water"
243,U+1F404,🐄,,,,,,missing,missing,missing,missing,cow,V6.0ˣ,emoji,"animal, cow, nature"
244,U+1F437,🐷,,,,,,,,,,pig face,V6.0ʲ,emoji,"animal, face, nature, pig"
245,U+1F416,🐖,,,,,,missing,missing,missing,missing,pig,V6.0ˣ,emoji,"animal, nature, pig, sow"
246,U+1F417,🐗,,,,,,,missing,,,boar,V6.0ʲ,emoji,"animal, boar, nature, pig"
247,U+1F43D,🐽,,,,,,,missing,,missing,pig nose,V6.0ʲ,emoji,"animal, face, nature, nose, pig"
248,U+1F40F,🐏,,,,,,missing,missing,missing,missing,ram,V6.0ˣ,emoji,"animal, aries, nature, ram, sheep, zodiac"
249,U+1F411,🐑,,,,,,,missing,missing,,sheep,V6.0ʲ,emoji,"animal, ewe, nature, sheep"
250,U+1F410,🐐,,,,,,missing,missing,missing,missing,goat,V6.0ˣ,emoji,"animal, capricorn, goat, nature, zodiac"
251,U+1F42A,🐪,,,,,,missing,missing,missing,missing,dromedary camel,V6.0ˣ,emoji,"animal, camel, dromedary, hump, nature"
252,U+1F42B,🐫,,,,,,,missing,,,bactrian camel,V6.0ʲ,emoji,"animal, bactrian, camel, hump, nature"
253,U+1F418,🐘,,,,,,,missing,,,elephant,V6.0ʲ,emoji,"animal, elephant, nature"
254,U+1F42D,🐭,,,,,,,missing,,,mouse face,V6.0ʲ,emoji,"animal, face, mouse, nature"
255,U+1F401,🐁,,,,,,missing,missing,missing,missing,mouse,V6.0ˣ,emoji,"animal, mouse, nature"
256,U+1F400,🐀,,,,,,missing,missing,missing,missing,rat,V6.0ˣ,emoji,"animal, nature, rat"
257,U+1F439,🐹,,,,,,,missing,missing,,hamster face,V6.0ʲ,emoji,"animal, face, hamster, nature, pet"
258,U+1F430,🐰,,,,,,,missing,,,rabbit face,V6.0ʲ,emoji,"animal, bunny, face, nature, pet, rabbit"
259,U+1F407,🐇,,,,,,missing,missing,missing,missing,rabbit,V6.0ˣ,emoji,"animal, bunny, nature, pet, rabbit"
260,U+1F43F,🐿,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,chipmunk,V7.0ʷ,text,"animal, chipmunk, nature"
261,U+1F43B,🐻,,,,,,,missing,,,bear face,V6.0ʲ,emoji,"animal, bear, face, nature"
262,U+1F428,🐨,,,,,,,missing,,,koala,V6.0ʲ,emoji,"animal, bear, koala, nature"
263,U+1F43C,🐼,,,,,,,missing,,missing,panda face,V6.0ʲ,emoji,"animal, face, nature, panda"
264,U+1F43E,🐾,,,,,,,missing,,missing,paw prints,V6.0ʲ,emoji,"animal, feet, nature, paw, print"
265,U+1F983,🦃,,missing,missing,missing,missing,missing,missing,missing,missing,turkey,V8.0ˣ,emoji,"animal, nature, turkey"
266,U+1F414,🐔,,,,,,,missing,,,chicken,V6.0ʲ,emoji,"animal, chicken, nature"
267,U+1F413,🐓,,,,,,missing,missing,missing,missing,rooster,V6.0ˣ,emoji,"animal, nature, rooster"
268,U+1F423,🐣,,,,,,,missing,,missing,hatching chick,V6.0ʲ,emoji,"animal, baby, chick, hatching, nature"
269,U+1F424,🐤,,,,,,,,,,baby chick,V6.0ʲ,emoji,"animal, baby, chick, nature"
270,U+1F425,🐥,,,,,,,missing,,missing,front-facing baby chick,V6.0ʲ,emoji,"animal, baby, chick, nature"
271,U+1F426,🐦,,,,,,,missing,missing,,bird,V6.0ʲʷ,emoji,"animal, bird, nature"
272,U+1F427,🐧,,,,,,,,,,penguin,V6.0ʲ,emoji,"animal, nature, penguin"
273,U+1F54A,🕊,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,dove of peace,V7.0ʷ,text,"animal, bird, dove, fly, nature, peace"
274,U+1F438,🐸,,,,,,,missing,,,frog face,V6.0ʲ,emoji,"animal, face, frog, nature"
275,U+1F40A,🐊,,,,,,missing,missing,missing,missing,crocodile,V6.0ˣ,emoji,"animal, crocodile, nature"
276,U+1F422,🐢,,,,,,,missing,,missing,turtle,V6.0ʲ,emoji,"animal, nature, turtle"
277,U+1F40D,🐍,,,,,,,missing,,,snake,V6.0ʲ,emoji,"animal, bearer, nature, ophiuchus, serpent, snake, zodiac"
278,U+1F432,🐲,,,,,,,missing,,missing,dragon face,V6.0ʲ,emoji,"animal, dragon, face, fairy tale, nature"
279,U+1F409,🐉,,,,,,missing,missing,missing,missing,dragon,V6.0ˣ,emoji,"animal, dragon, fairy tale, nature"
280,U+1F433,🐳,,,,,,,missing,,,spouting whale,V6.0ʲ,emoji,"animal, face, nature, spouting, whale"
281,U+1F40B,🐋,,,,,,missing,missing,missing,missing,whale,V6.0ˣ,emoji,"animal, nature, whale"
282,U+1F42C,🐬,,,,,,,missing,,,dolphin,V6.0ʲ,emoji,"animal, dolphin, flipper, nature"
283,U+1F41F,🐟,,,,,,,,missing,,fish,V6.0ʲʷ,emoji,"animal, fish, nature, pisces, zodiac"
284,U+1F420,🐠,,,,,,,missing,,,tropical fish,V6.0ʲ,emoji,"animal, fish, nature, tropical"
285,U+1F421,🐡,,,,,,,missing,,missing,blowfish,V6.0ʲ,emoji,"animal, blowfish, fish, nature"
286,U+1F419,🐙,,,,,,,missing,,,octopus,V6.0ʲ,emoji,"animal, nature, octopus"
287,U+1F41A,🐚,,,,,,,missing,,,spiral shell,V6.0ʲ,emoji,"animal, nature, shell, spiral"
288,U+1F980,🦀,,missing,missing,missing,missing,missing,missing,missing,missing,crab,V8.0ˣ,emoji,"animal, cancer, crab, nature, zodiac"
289,U+1F40C,🐌,,,,,,,,,missing,snail,V6.0ʲ,emoji,"animal, nature, snail"
290,U+1F41B,🐛,,,,,,,missing,,,bug,V6.0ʲ,emoji,"animal, bug, insect, nature"
291,U+1F41C,🐜,,,,,,,missing,,missing,ant,V6.0ʲ,emoji,"animal, ant, insect, nature"
292,U+1F41D,🐝,,,,,,,missing,,missing,honeybee,V6.0ʲ,emoji,"animal, bee, honeybee, insect, nature"
293,U+1F41E,🐞,,,,,,,missing,,missing,lady beetle,V6.0ʲ,emoji,"animal, beetle, insect, lady beetle, ladybird, ladybug, nature"
294,U+1F577,🕷,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,spider,V7.0ʷ,text,"animal, insect, object, spider"
295,U+1F578,🕸,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,spider web,V7.0ʷ,text,"animal, object, spider, web"
296,U+1F982,🦂,,missing,missing,missing,missing,missing,missing,missing,missing,scorpion,V8.0ˣ,emoji,"animal, nature, scorpio, scorpion, scorpius, zodiac"
297,U+1F490,💐,,,,,,,missing,,,bouquet,V6.0ʲ,emoji,"bouquet, flower, nature, object, place, plant, romance"
298,U+1F338,🌸,,,,,,,,,,cherry blossom,V6.0ʲ,emoji,"blossom, cherry, flower, nature, plant"
299,U+1F4AE,💮,,,,,,,missing,,missing,white flower,V6.0ʲ,emoji,"flower, object, symbol"
300,U+1F3F5,🏵,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,rosette,V7.0ʷ,text,"nature, plant, rosette"
301,U+1F339,🌹,,,,,,,missing,,,rose,V6.0ʲ,emoji,"flower, nature, plant, rose"
302,U+1F33A,🌺,,,,,,,missing,,,hibiscus,V6.0ʲ,emoji,"flower, hibiscus, nature, plant"
303,U+1F33B,🌻,,,,,,,missing,,,sunflower,V6.0ʲ,emoji,"flower, nature, plant, sun, sunflower"
304,U+1F33C,🌼,,,,,,,missing,,missing,blossom,V6.0ʲ,emoji,"blossom, flower, nature, plant"
305,U+1F337,🌷,,,,,,,,,,tulip,V6.0ʲ,emoji,"flower, nature, plant, tulip"
306,U+2618,☘,,missing,missing,missing,missing,missing,missing,missing,missing,shamrock,V4.1ˣ,text,"nature, plant, shamrock"
307,U+1F331,🌱,,,,,,,,,missing,seedling,V6.0ʲ,emoji,"nature, plant, seedling, young"
308,U+1F332,🌲,,,,,,missing,missing,missing,missing,evergreen tree,V6.0ˣ,emoji,"evergreen, nature, plant, tree"
309,U+1F333,🌳,,,,,,missing,missing,missing,missing,deciduous tree,V6.0ˣ,emoji,"deciduous, nature, plant, shedding, tree"
310,U+1F334,🌴,,,,,,,missing,,,palm tree,V6.0ʲ,emoji,"nature, palm, plant, tree"
311,U+1F335,🌵,,,,,,,missing,,,cactus,V6.0ʲ,emoji,"cactus, nature, plant"
312,U+1F33E,🌾,,,,,,,missing,missing,,ear of rice,V6.0ʲ,emoji,"ear, nature, plant, rice"
313,U+1F33F,🌿,,,,,,,missing,,missing,herb,V6.0ʲ,emoji,"herb, leaf, nature, plant"
314,U+1F340,🍀,,,,,,,,,,four leaf clover,V6.0ʲ,emoji,"4, clover, four, leaf, nature, plant"
315,U+1F341,🍁,,,,,,,,,,maple leaf,V6.0ʲ,emoji,"falling, leaf, maple, nature, plant"
316,U+1F342,🍂,,,,,,,missing,,,fallen leaf,V6.0ʲ,emoji,"falling, leaf, nature, plant"
317,U+1F343,🍃,,,,,,,missing,missing,,leaf fluttering in wind,V6.0ʲ,emoji,"blow, flutter, leaf, nature, plant, wind"
318,U+1F347,🍇,,,,,,,missing,,missing,grapes,V6.0ʲ,emoji,"food, fruit, grape, nature, object, plant"
319,U+1F348,🍈,,,,,,,missing,,missing,melon,V6.0ʲ,emoji,"food, fruit, melon, nature, object, plant"
320,U+1F349,🍉,,,,,,,missing,,,watermelon,V6.0ʲ,emoji,"food, fruit, nature, object, plant, watermelon"
321,U+1F34A,🍊,,,,,,,missing,,,tangerine,V6.0ʲ,emoji,"food, fruit, nature, object, orange, plant, tangerine"
322,U+1F34B,🍋,,,,,,missing,missing,missing,missing,lemon,V6.0ˣ,emoji,"citrus, food, fruit, lemon, nature, object, plant"
323,U+1F34C,🍌,,,,,,,,,missing,banana,V6.0ʲ,emoji,"banana, food, fruit, nature, object, plant"
324,U+1F34D,🍍,,,,,,,missing,,missing,pineapple,V6.0ʲ,emoji,"food, fruit, nature, object, pineapple, plant"
325,U+1F34E,🍎,,,,,,,,,,red apple,V6.0ʲ,emoji,"apple, food, fruit, nature, object, plant, red"
326,U+1F34F,🍏,,,,,,,missing,,missing,green apple,V6.0ʲ,emoji,"apple, food, fruit, green, nature, object, plant"
327,U+1F350,🍐,,,,,,missing,missing,missing,missing,pear,V6.0ˣ,emoji,"food, fruit, nature, object, pear, plant"
328,U+1F351,🍑,,,,,,,missing,,missing,peach,V6.0ʲ,emoji,"food, fruit, nature, object, peach, plant"
329,U+1F352,🍒,,,,,,,,,missing,cherries,V6.0ʲ,emoji,"cherry, food, fruit, nature, object, plant"
330,U+1F353,🍓,,,,,,,missing,,,strawberry,V6.0ʲ,emoji,"berry, food, fruit, nature, object, plant, strawberry"
331,U+1F345,🍅,,,,,,,missing,,,tomato,V6.0ʲ,emoji,"food, nature, object, plant, tomato, vegetable"
332,U+1F346,🍆,,,,,,,missing,,,aubergine,V6.0ʲ,emoji,"aubergine, eggplant, food, nature, object, plant, vegetable"
333,U+1F33D,🌽,,,,,,,missing,,missing,ear of maize,V6.0ʲ,emoji,"corn, ear, maize, maze, nature, object, plant"
334,U+1F336,🌶,,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,new 7.0,hot pepper,V7.0ʷ,text,"food, hot, nature, pepper, plant"
335,U+1F344,🍄,,,,,,,missing,,missing,mushroom,V6.0ʲ,emoji,"mushroom, nature, plant"
336,U+1F330,🌰,,,,,,,missing,,missing,chestnut,V6.0ʲ,emoji,"chestnut, nature, plant"
337,U+1F35E,🍞,,,,,,,,,,bread,V6.0ʲ,emoji,"bread, food, loaf, nature, object, restaurant"
338,U+1F9C0,🧀,,missing,missing,missing,missing,missing,missing,missing,missing,cheese wedge,V8.0ˣ,emoji,"cheese, food, nature"
339,U+1F356,🍖,,,,,,,missing,,missing,meat on bone,V6.0ʲ,emoji,"bone, food, meat, nature, object, restaurant"
340,U+1F357,🍗,,,,,,,missing,,missing,poultry leg,V6.0ʲ,emoji,"bone, chicken, food, leg, nature, object, poultry, restaurant"
341,U+1F354,🍔,,,,,,,,,,hamburger,V6.0ʲ,emoji,"burger, food, hamburger, nature, object, restaurant"
342,U+1F35F,🍟,,,,,,,missing,,,french fries,V6.0ʲ,emoji,"food, french, fries, nature, object, restaurant"
343,U+1F355,🍕,,,,,,,missing,,missing,slice of pizza,V6.0ʲ,emoji,"food, nature, object, pizza, restaurant, slice"
344,U+1F32D,🌭,,missing,missing,missing,missing,missing,missing,missing,missing,hot dog,V8.0ˣ,emoji,"food, frankfurter, hot dog, hotdog, nature, sausage"
345,U+1F32E,🌮,,missing,missing,missing,missing,missing,missing,missing,missing,taco,V8.0ˣ,emoji,"food, mexican, nature, taco"
346,U+1F32F,🌯,,missing,missing,missing,missing,missing,missing,missing,missing,burrito,V8.0ˣ,emoji,"burrito, food, mexican, nature"
347,U+1F37F,🍿,,missing,missing,missing,missing,missing,missing,missing,missing,popcorn,V8.0ˣ,emoji,"food, nature, popcorn"
